Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,238210.0,1832,240042.0,23.39,Jammu and Kashmir,ANANTNAG-RAJOURI
ZAFAR IQBAL KHAN MANHAS,Jammu and Kashmir Apni Party,141316.0,879,142195.0,13.86,Jammu and Kashmir,ANANTNAG-RAJOURI
MOHAMAD SALEEM PARAY,Democratic Progressive Azad Party,25440.0,121,25561.0,2.49,Jammu and Kashmir,ANANTNAG-RAJOURI
ABDUL RAOUF MALIK,Independent,10566.0,16,10582.0,1.03,Jammu and Kashmir,ANANTNAG-RAJOURI
SUSHIL KUMAR SHARMA,Independent,9102.0,126,9228.0,0.9,Jammu and Kashmir,ANANTNAG-RAJOURI
ABDUL ROUF NAIK,Independent,9079.0,70,9149.0,0.89,Jammu and Kashmir,ANANTNAG-RAJOURI
SAJAD AHMAD DAR,Independent,7988.0,16,8004.0,0.78,Jammu and Kashmir,ANANTNAG-RAJOURI
IMRAN SHEIKH,Independent,7457.0,28,7485.0,0.73,Jammu and Kashmir,ANANTNAG-RAJOURI
IMTIYAZ AHMAD,National Loktantrik Party,6936.0,77,7013.0,0.68,Jammu and Kashmir,ANANTNAG-RAJOURI
ARSHEED AHMED LONE,Jammu & Kashmir National Panthers Party (Bhim),6163.0,226,6389.0,0.62,Jammu and Kashmir,ANANTNAG-RAJOURI
BALDEV KUMAR,Independent,6120.0,69,6189.0,0.6,Jammu and Kashmir,ANANTNAG-RAJOURI
ALI MOHAMMAD WANI,Independent,5238.0,17,5255.0,0.51,Jammu and Kashmir,ANANTNAG-RAJOURI
SHEIKH MUZAFAR AHMED,Jammu and Kashmir Nationalist People's Front,4774.0,40,4814.0,0.47,Jammu and Kashmir,ANANTNAG-RAJOURI
DILIP KUMAR PANDITA,Independent,3638.0,84,3722.0,0.36,Jammu and Kashmir,ANANTNAG-RAJOURI
RAVINDER SINGH,Independent,2828.0,134,2962.0,0.29,Jammu and Kashmir,ANANTNAG-RAJOURI
GULSHAN AKHTER,Independent,2778.0,29,2807.0,0.27,Jammu and Kashmir,ANANTNAG-RAJOURI
MOHAMMAD MAQBOOL TELI,Garib Democratic Party,2731.0,17,2748.0,0.27,Jammu and Kashmir,ANANTNAG-RAJOURI
SUDARSHAN SINGH,National Awami United Party,2166.0,216,2382.0,0.23,Jammu and Kashmir,ANANTNAG-RAJOURI
JAVAID AHMED,All India Forward Bloc,1534.0,28,1562.0,0.15,Jammu and Kashmir,ANANTNAG-RAJOURI
NOTA,None of the Above,5967.0,256,6223.0,0.61,Jammu and Kashmir,ANANTNAG-RAJOURI
ABDUL RASHID SHEIKH,Independent,469574.0,2907,472481.0,45.7,Jammu and Kashmir,BARAMULLA
OMAR ABDULLAH,Jammu & Kashmir National Conference,266301.0,2038,268339.0,25.95,Jammu and Kashmir,BARAMULLA
SAJAD GANI LONE,Jammu & Kashmir People Conference,171582.0,1657,173239.0,16.76,Jammu and Kashmir,BARAMULLA
MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party,27173.0,315,27488.0,2.66,Jammu and Kashmir,BARAMULLA
SURAIYA NISSAR,Independent,21565.0,53,21618.0,2.09,Jammu and Kashmir,BARAMULLA
FIRDOUS AHMAD BHAT,Independent,15707.0,15,15722.0,1.52,Jammu and Kashmir,BARAMULLA
SHAFEEQA BEGUM,Independent,6203.0,11,6214.0,0.6,Jammu and Kashmir,BARAMULLA
PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim),5499.0,67,5566.0,0.54,Jammu and Kashmir,BARAMULLA
KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party,4213.0,55,4268.0,0.41,Jammu and Kashmir,BARAMULLA
MOHAMMAD SULTAN GANAIE,Independent,4054.0,9,4063.0,0.39,Jammu and Kashmir,BARAMULLA
SHADIB HANIEF KHAN,Independent,3668.0,2,3670.0,0.35,Jammu and Kashmir,BARAMULLA
MUDASIR AHMAD TANTARY,Independent,3196.0,22,3218.0,0.31,Jammu and Kashmir,BARAMULLA
NAZIR AHMAD SOFI,Independent,2980.0,3,2983.0,0.29,Jammu and Kashmir,BARAMULLA
SHABIR AHMAD DAR,Independent,2694.0,6,2700.0,0.26,Jammu and Kashmir,BARAMULLA
HILAL AHMAD WAGAY,Independent,2681.0,8,2689.0,0.26,Jammu and Kashmir,BARAMULLA
MEHRAJ UDDIN NAJAR,Independent,2560.0,10,2570.0,0.25,Jammu and Kashmir,BARAMULLA
SYED AMEER SUHAIL,Independent,2409.0,8,2417.0,0.23,Jammu and Kashmir,BARAMULLA
FAROOQ AHMAD BHAT,National Youth Party,2315.0,28,2343.0,0.23,Jammu and Kashmir,BARAMULLA
ARUN KUMAR RAINA,Independent,2161.0,80,2241.0,0.22,Jammu and Kashmir,BARAMULLA
MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front,2004.0,15,2019.0,0.2,Jammu and Kashmir,BARAMULLA
MUZAFFAR HUSSAIN DAR,Independent,1663.0,8,1671.0,0.16,Jammu and Kashmir,BARAMULLA
MUSHTAQ AHMAD MIR,National Loktantrik Party,1382.0,15,1397.0,0.14,Jammu and Kashmir,BARAMULLA
NOTA,None of the Above,4873.0,111,4984.0,0.48,Jammu and Kashmir,BARAMULLA
JUGAL KISHORE,Bharatiya Janata Party,677571.0,10017,687588.0,52.8,Jammu and Kashmir,JAMMU
RAMAN BHALLA,Indian National Congress,546031.0,6059,552090.0,42.4,Jammu and Kashmir,JAMMU
JAGDISH RAJ,Bahujan Samaj Party,10253.0,47,10300.0,0.79,Jammu and Kashmir,JAMMU
SATISH POONCHI,Independent,5948.0,11,5959.0,0.46,Jammu and Kashmir,JAMMU
ANKUR SHARMA,Ekam Sanatan Bharat Dal,4268.0,10,4278.0,0.33,Jammu and Kashmir,JAMMU
NARESH KUMAR CHIB,Jammu & Kashmir National Panthers Party (Bhim),4231.0,12,4243.0,0.33,Jammu and Kashmir,JAMMU
PRINCIPAL C D SHARMA,Independent,3256.0,1,3257.0,0.25,Jammu and Kashmir,JAMMU
KARANJIT,Independent,3199.0,8,3207.0,0.25,Jammu and Kashmir,JAMMU
SHABER AHMED,Independent,3174.0,3,3177.0,0.24,Jammu and Kashmir,JAMMU
SHIKHA BANDRAL,National Awami United Party,2932.0,5,2937.0,0.23,Jammu and Kashmir,JAMMU
DR PRINCE RAINA,Independent,2863.0,3,2866.0,0.22,Jammu and Kashmir,JAMMU
RAJ KUMAR,Independent,2611.0,7,2618.0,0.2,Jammu and Kashmir,JAMMU
SURINDER SINGH,Independent,2216.0,10,2226.0,0.17,Jammu and Kashmir,JAMMU
ATUL RAINA,Independent,2063.0,5,2068.0,0.16,Jammu and Kashmir,JAMMU
RATTAN LAL,Jammu & Kashmir People Conference,1650.0,1,1651.0,0.13,Jammu and Kashmir,JAMMU
SWAMI DIVYA NAND,Jammu and Kashmir Nationalist People's Front,1618.0,2,1620.0,0.12,Jammu and Kashmir,JAMMU
PERSEEN SINGH,Independent,1587.0,2,1589.0,0.12,Jammu and Kashmir,JAMMU
NARESH KUMAR TALLA,Independent,1458.0,1,1459.0,0.11,Jammu and Kashmir,JAMMU
GANESH CHOUDHARY,Hindustan Shakti Sena,1187.0,3,1190.0,0.09,Jammu and Kashmir,JAMMU
VICKY KUMAR DOGRA,Independent,1163.0,2,1165.0,0.09,Jammu and Kashmir,JAMMU
BANSI LAL,Independent,1051.0,8,1059.0,0.08,Jammu and Kashmir,JAMMU
QARI ZAHEER ABBAS BHATTI,All India Forward Bloc,983.0,1,984.0,0.08,Jammu and Kashmir,JAMMU
NOTA,None of the Above,4631.0,14,4645.0,0.36,Jammu and Kashmir,JAMMU
AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,355294.0,1572,356866.0,52.85,Jammu and Kashmir,SRINAGAR
WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,167666.0,784,168450.0,24.95,Jammu and Kashmir,SRINAGAR
MOHAMMAD ASHRAF MIR,Jammu and Kashmir Apni Party,65494.0,460,65954.0,9.77,Jammu and Kashmir,SRINAGAR
AMIR AHMAD BHAT,Democratic Progressive Azad Party,15061.0,43,15104.0,2.24,Jammu and Kashmir,SRINAGAR
SHEEBAN ASHAI,Independent,13063.0,8,13071.0,1.94,Jammu and Kashmir,SRINAGAR
SAYIM MUSTAFA,Independent,8831.0,49,8880.0,1.32,Jammu and Kashmir,SRINAGAR
JIBRAN FIRDOUS DAR,Independent,5431.0,67,5498.0,0.81,Jammu and Kashmir,SRINAGAR
JAHANGIR AHMAD SHEIKH,Independent,4412.0,10,4422.0,0.65,Jammu and Kashmir,SRINAGAR
SAJAD AHMAD DAR,Independent,3755.0,9,3764.0,0.56,Jammu and Kashmir,SRINAGAR
HAKIKAT SINGH,Jammu & Kashmir National Panthers Party (Bhim),3732.0,46,3778.0,0.56,Jammu and Kashmir,SRINAGAR
RUBINA AKHTER,National Loktantrik Party,2855.0,21,2876.0,0.43,Jammu and Kashmir,SRINAGAR
WASEEM HASSAN SHEIKH,Independent,2838.0,17,2855.0,0.42,Jammu and Kashmir,SRINAGAR
RIYAZ AHMAD BHAT,Independent,2791.0,1,2792.0,0.41,Jammu and Kashmir,SRINAGAR
FAYAZ AHMAD BUTT,Independent,2221.0,6,2227.0,0.33,Jammu and Kashmir,SRINAGAR
SHAHNAZ HUSSAIN SHAH,Independent,2196.0,7,2203.0,0.33,Jammu and Kashmir,SRINAGAR
MOHD YOUSUF BHAT,Gana Suraksha Party,1880.0,18,1898.0,0.28,Jammu and Kashmir,SRINAGAR
WAHEEDA TABASUM SHAH,Independent,1594.0,12,1606.0,0.24,Jammu and Kashmir,SRINAGAR
NISAR AHMAD AHANGAR,Independent,1115.0,9,1124.0,0.17,Jammu and Kashmir,SRINAGAR
MIRZA SAJAD HUSSAIN BEIGH,Independent,1049.0,15,1064.0,0.16,Jammu and Kashmir,SRINAGAR
GHULAM MOHAMMAD WANI,Independent,1028.0,12,1040.0,0.15,Jammu and Kashmir,SRINAGAR
AMIN DAR,Independent,989.0,7,996.0,0.15,Jammu and Kashmir,SRINAGAR
JAVEED AHMAD WANI,Independent,928.0,4,932.0,0.14,Jammu and Kashmir,SRINAGAR
YOUNIS AHMAD MIR,Bharat Jodo Party,913.0,12,925.0,0.14,Jammu and Kashmir,SRINAGAR
DR QAZI ASHRAF,Independent,910.0,9,919.0,0.14,Jammu and Kashmir,SRINAGAR
NOTA,None of the Above,5887.0,111,5998.0,0.89,Jammu and Kashmir,SRINAGAR
DR JITENDRA SINGH,Bharatiya Janata Party,566833.0,4243,571076.0,51.28,Jammu and Kashmir,UDHAMPUR
CH LAL SINGH,Indian National Congress,444151.0,2552,446703.0,40.11,Jammu and Kashmir,UDHAMPUR
GHULAM MOHD SAROORI,Independent,39519.0,80,39599.0,3.56,Jammu and Kashmir,UDHAMPUR
MEHRAJ DIN,Independent,9055.0,27,9082.0,0.82,Jammu and Kashmir,UDHAMPUR
AMIT KUMAR,Bahujan Samaj Party,8559.0,83,8642.0,0.78,Jammu and Kashmir,UDHAMPUR
MOHD ALI GUJJAR,Independent,7139.0,19,7158.0,0.64,Jammu and Kashmir,UDHAMPUR
MANOJ KUMAR,Ekam Sanatan Bharat Dal,6778.0,56,6834.0,0.61,Jammu and Kashmir,UDHAMPUR
BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3243.0,49,3292.0,0.3,Jammu and Kashmir,UDHAMPUR
SWARN VEER SINGH JARAL,Independent,3071.0,17,3088.0,0.28,Jammu and Kashmir,UDHAMPUR
DR PANKAJ SHARMA,Independent,2201.0,46,2247.0,0.2,Jammu and Kashmir,UDHAMPUR
RAJESH MANCHANDA,Independent,1575.0,30,1605.0,0.14,Jammu and Kashmir,UDHAMPUR
SACHIN GUPTA,Independent,1457.0,6,1463.0,0.13,Jammu and Kashmir,UDHAMPUR
NOTA,None of the Above,12891.0,47,12938.0,1.16,Jammu and Kashmir,UDHAMPUR
KALI CHARAN SINGH,Bharatiya Janata Party,568912.0,5644,574556.0,52.89,Jharkhand,Chatra
KRISHNA NAND TRIPATHI,Indian National Congress,348110.0,5487,353597.0,32.55,Jharkhand,Chatra
AMIT KUMAR SINGH,Independent,31976.0,15,31991.0,2.94,Jharkhand,Chatra
ARJUN KUMAR,Communist Party of India,14062.0,60,14122.0,1.3,Jharkhand,Chatra
DR. ABHISHEK KUMAR SINGH,Independent,14038.0,68,14106.0,1.3,Jharkhand,Chatra
ARJUN PRAJAPATI,Independent,13320.0,8,13328.0,1.23,Jharkhand,Chatra
DEEPAK KUMAR GUPTA,Independent,12384.0,182,12566.0,1.16,Jharkhand,Chatra
NAGMANI,Bahujan Samaj Party,11798.0,152,11950.0,1.1,Jharkhand,Chatra
CHANDAN KUMAR,Independent,6569.0,13,6582.0,0.61,Jharkhand,Chatra
MD ABUZAR KHAN,Independent,5820.0,3,5823.0,0.54,Jharkhand,Chatra
YOGESH KUMAR SINGH,Independent,5110.0,2,5112.0,0.47,Jharkhand,Chatra
BIMAL LAKRA,Ambedkarite Party of India,4983.0,31,5014.0,0.46,Jharkhand,Chatra
KARMLAL ORAON,Peoples Party of India (Democratic),3968.0,42,4010.0,0.37,Jharkhand,Chatra
SUMIT KUMAR YADAV,Samata Party,3499.0,17,3516.0,0.32,Jharkhand,Chatra
SANJAY KUMAR SNEHI,Lokhit Adhikar Party,3202.0,14,3216.0,0.3,Jharkhand,Chatra
MAHESH BANDO,Bahujan Mukti Party,3159.0,42,3201.0,0.29,Jharkhand,Chatra
SRIRAM SINGH,Independent,2991.0,2,2993.0,0.28,Jharkhand,Chatra
DARSHAN GANJHU,Jharkhand Party,2780.0,37,2817.0,0.26,Jharkhand,Chatra
DULESHWAR SAW,Bharatheeya Jawan Kisan Party,2376.0,9,2385.0,0.22,Jharkhand,Chatra
LAW KUMAR PANDIT,Bhagidari Party(P),2372.0,8,2380.0,0.22,Jharkhand,Chatra
KAMDEO DIHO RANA,Rashtriya Jan Utkarsh Party,2297.0,12,2309.0,0.21,Jharkhand,Chatra
VIKRANT KUMAR SINGH,Independent,2288.0,1,2289.0,0.21,Jharkhand,Chatra
NOTA,None of the Above,8435.0,76,8511.0,0.78,Jharkhand,Chatra
DULU MAHATO,Bharatiya Janata Party,782423.0,6749,789172.0,55.26,Jharkhand,Dhanbad
ANUPAMA SINGH,Indian National Congress,452358.0,5231,457589.0,32.04,Jharkhand,Dhanbad
MD. EKLAK ANSARI,Independent,78885.0,768,79653.0,5.58,Jharkhand,Dhanbad
JAGDISH RAWANI,Independent,27499.0,136,27635.0,1.94,Jharkhand,Dhanbad
JANAK SAH GOND,Independent,12761.0,3,12764.0,0.89,Jharkhand,Dhanbad
MD. ZAHIRUDDIN KHAN,Independent,6499.0,1,6500.0,0.46,Jharkhand,Dhanbad
MOHAN SINGH,Bahujan Samaj Party,5594.0,45,5639.0,0.39,Jharkhand,Dhanbad
TULSI MAHTO,Independent,5371.0,4,5375.0,0.38,Jharkhand,Dhanbad
KAMASHEVAR PRA. VERMA,Independent,4002.0,2,4004.0,0.28,Jharkhand,Dhanbad
SUNAINA KINNAR,Independent,3430.0,32,3462.0,0.24,Jharkhand,Dhanbad
AKBAR ALI,Akhil Bhartiya Parivar Party,3031.0,10,3041.0,0.21,Jharkhand,Dhanbad
KRISHNA CHANDRA SINGH RAJ,Samata Party,2818.0,3,2821.0,0.2,Jharkhand,Dhanbad
ANINDITA DAS,Independent,2655.0,19,2674.0,0.19,Jharkhand,Dhanbad
REZAUL HAQUE,Lokhit Adhikar Party,2642.0,7,2649.0,0.19,Jharkhand,Dhanbad
LAKSHMI DEVI,Independent,2600.0,5,2605.0,0.18,Jharkhand,Dhanbad
UMESH PASWAN,Independent,2554.0,6,2560.0,0.18,Jharkhand,Dhanbad
MOHAMMAD FAISHAL KHAN,Independent,1994.0,2,1996.0,0.14,Jharkhand,Dhanbad
RAJIB TIWARI,Socialist Unity Centre Of India (COMMUNIST),1880.0,10,1890.0,0.13,Jharkhand,Dhanbad
DEEPAK KUMAR DAS,Peoples Party of India (Democratic),1720.0,15,1735.0,0.12,Jharkhand,Dhanbad
NITAI DUTTA,Independent,1695.0,48,1743.0,0.12,Jharkhand,Dhanbad
SANJAY KUMAR GIRI,Akhil Bharat Hindu Mahasabha,1617.0,10,1627.0,0.11,Jharkhand,Dhanbad
PERWEZ NEYYAR,Aazad Samaj Party (Kanshi Ram),1157.0,4,1161.0,0.08,Jharkhand,Dhanbad
TRIDEV KR MAHTO,Independent,1126.0,18,1144.0,0.08,Jharkhand,Dhanbad
MOHAMMAD TAFAZUL HUSSAIN,Independent,681.0,,681.0,0.05,Jharkhand,Dhanbad
PREM PRAKASH PASWAN,Independent,516.0,17,533.0,0.04,Jharkhand,Dhanbad
NOTA,None of the Above,7202.0,152,7354.0,0.51,Jharkhand,Dhanbad
NALIN SOREN,Jharkhand Mukti Morcha,542299.0,5071,547370.0,46.23,Jharkhand,Dumka
SITA MURMU,Bharatiya Janata Party,520714.0,4129,524843.0,44.32,Jharkhand,Dumka
MAHASHON MURMU,Independent,21371.0,1,21372.0,1.8,Jharkhand,Dumka
BABYLATA TUDU,Independent,19275.0,85,19360.0,1.63,Jharkhand,Dumka
RAJESH KISKU,Communist Party of India,11484.0,22,11506.0,0.97,Jharkhand,Dumka
DR. SRILAL KISKU,Independent,9414.0,2,9416.0,0.8,Jharkhand,Dumka
PARESH MARANDI,Bahujan Samaj Party,7713.0,20,7733.0,0.65,Jharkhand,Dumka
ANIL TUDU,Lokhit Adhikar Party,6811.0,7,6818.0,0.58,Jharkhand,Dumka
SUSHANTI HEMBROM,Independent,5150.0,2,5152.0,0.44,Jharkhand,Dumka
MANOJ HEMBROM,Independent,4814.0,2,4816.0,0.41,Jharkhand,Dumka
BIREN MOHLI,Independent,4416.0,2,4418.0,0.37,Jharkhand,Dumka
RAJU EMANUEL MURMU,Ambedkarite Party of India,3056.0,4,3060.0,0.26,Jharkhand,Dumka
KAMISHNAR MURMU,Independent,2509.0,7,2516.0,0.21,Jharkhand,Dumka
BAGHRAI SOREN,Independent,2255.0,1,2256.0,0.19,Jharkhand,Dumka
SANJAY TUDU,Independent,2171.0,3,2174.0,0.18,Jharkhand,Dumka
MUNNI HANSDA,Samata Party,1753.0,5,1758.0,0.15,Jharkhand,Dumka
NIRMAL SOREN,Independent,1707.0,6,1713.0,0.14,Jharkhand,Dumka
ALESH HANSDA,Indian National Socialistic Action Forces,1666.0,8,1674.0,0.14,Jharkhand,Dumka
JONATHAN MARDI,Peoples Party of India (Democratic),1650.0,1,1651.0,0.14,Jharkhand,Dumka
NOTA,None of the Above,4453.0,73,4526.0,0.38,Jharkhand,Dumka
CHANDRA PRAKASH CHOUDHARY,AJSU Party,447896.0,3243,451139.0,35.67,Jharkhand,Giridih
MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,367197.0,3062,370259.0,29.27,Jharkhand,Giridih
JAIRAM KUMAR MAHATO,Independent,342241.0,5081,347322.0,27.46,Jharkhand,Giridih
KAMAL PRASAD,Bahujan Samaj Party,13971.0,103,14074.0,1.11,Jharkhand,Giridih
SUBODH KUMAR YADAV,Independent,13093.0,13,13106.0,1.04,Jharkhand,Giridih
RAMESHWAR DUSADH,Independent,11011.0,9,11020.0,0.87,Jharkhand,Giridih
SUNITA TUDU,Independent,10899.0,45,10944.0,0.87,Jharkhand,Giridih
MD AINUL ANSARI,Bahujan Mukti Party,6919.0,20,6939.0,0.55,Jharkhand,Giridih
DWARAKA PRASAD LALA,Independent,5617.0,10,5627.0,0.44,Jharkhand,Giridih
KALAWATI DEVI,Independent,5414.0,16,5430.0,0.43,Jharkhand,Giridih
GYANESHWAR PRASAD,Lokhit Adhikar Party,5348.0,8,5356.0,0.42,Jharkhand,Giridih
SHIVJI PRASAD,Right to Recall Party,4248.0,6,4254.0,0.34,Jharkhand,Giridih
PRAMOD RAM,Peoples Party of India (Democratic),3805.0,20,3825.0,0.3,Jharkhand,Giridih
USHA SINGH,Independent,3703.0,58,3761.0,0.3,Jharkhand,Giridih
PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party,3203.0,13,3216.0,0.25,Jharkhand,Giridih
SUBHASH KUMAR THAKUR,Sarv Samaj Party,2513.0,4,2517.0,0.2,Jharkhand,Giridih
NOTA,None of the Above,5927.0,117,6044.0,0.48,Jharkhand,Giridih
NISHIKANT DUBEY,Bharatiya Janata Party,688879.0,4261,693140.0,49.57,Jharkhand,Godda
PRADEEP YADAV,Indian National Congress,586104.0,5223,591327.0,42.29,Jharkhand,Godda
UDAY SHANKAR KHAWARE,Independent,26831.0,6,26837.0,1.92,Jharkhand,Godda
ARUN MARIK,Independent,17436.0,1,17437.0,1.25,Jharkhand,Godda
NILESH KUMAR GUPTA,Independent,10485.0,3,10488.0,0.75,Jharkhand,Godda
AVISEK ANAND JHA,Independent,9601.0,35,9636.0,0.69,Jharkhand,Godda
BAJRANGI MAHTHA,Bahujan Samaj Party,8151.0,24,8175.0,0.58,Jharkhand,Godda
MUKESH KUMAR JHA,Independent,7366.0,,7366.0,0.53,Jharkhand,Godda
KUMARI DILESHWARI,Ambedkarite Party of India,6578.0,3,6581.0,0.47,Jharkhand,Godda
RAMESHWAR MANDAL,Peoples Party of India (Democratic),3315.0,1,3316.0,0.24,Jharkhand,Godda
SURAJ KUMAR AMAN,Bhagidari Party(P),3070.0,3,3073.0,0.22,Jharkhand,Godda
ARUN KUMAR,Nyaydharmsabha,2891.0,2,2893.0,0.21,Jharkhand,Godda
DR. K. RANGAIAH,Independent,2205.0,5,2210.0,0.16,Jharkhand,Godda
BRAJKISHORE PANDIT,Akhil Bhartiya Manavadhikar Vichar Manch Party,2102.0,6,2108.0,0.15,Jharkhand,Godda
ANUP KUMAR,"Proutist Bloc, India",2003.0,4,2007.0,0.14,Jharkhand,Godda
KALIPADA MURMU,Socialist Unity Centre Of India (COMMUNIST),1935.0,6,1941.0,0.14,Jharkhand,Godda
KETAN KUMAR,Right to Recall Party,1896.0,2,1898.0,0.14,Jharkhand,Godda
TIPLAL SAH,Lokhit Adhikar Party,1765.0,5,1770.0,0.13,Jharkhand,Godda
GYANESHWAR JHA,Jagrook Janta Party,1637.0,3,1640.0,0.12,Jharkhand,Godda
NOTA,None of the Above,4309.0,52,4361.0,0.31,Jharkhand,Godda
MANISH JAISWAL,Bharatiya Janata Party,647416.0,7197,654613.0,51.76,Jharkhand,Hazaribagh
JAI PRAKASH BHAI PATEL,Indian National Congress,371641.0,6286,377927.0,29.88,Jharkhand,Hazaribagh
SANJAY KUMAR MEHTA,Independent,156298.0,1679,157977.0,12.49,Jharkhand,Hazaribagh
SHASHI BHUSHAN KESHRI,Independent,15373.0,13,15386.0,1.22,Jharkhand,Hazaribagh
ANIRUDDH KUMAR,Communist Party of India,10428.0,40,10468.0,0.83,Jharkhand,Hazaribagh
MD. MOIN UDDIN AHMAD,Bahujan Samaj Party,7395.0,43,7438.0,0.59,Jharkhand,Hazaribagh
MD. SERAJ,Independent,5503.0,3,5506.0,0.44,Jharkhand,Hazaribagh
VINOD KUMAR RANA,Independent,4831.0,10,4841.0,0.38,Jharkhand,Hazaribagh
KUNJ BIHARI KUMAR,Lokhit Adhikar Party,4220.0,14,4234.0,0.33,Jharkhand,Hazaribagh
CHHATHI DEVI,Akhil Bhartiya Parivar Party,3296.0,20,3316.0,0.26,Jharkhand,Hazaribagh
ABHISHEK KUMAR,Independent,2963.0,9,2972.0,0.24,Jharkhand,Hazaribagh
NISHANT KUMAR SINHA,Peoples Party of India (Democratic),2932.0,24,2956.0,0.23,Jharkhand,Hazaribagh
MANOJ KUMAR BEDIA,Independent,2559.0,19,2578.0,0.2,Jharkhand,Hazaribagh
BHUNESHWAR BEDIYA,Samata Party,2236.0,28,2264.0,0.18,Jharkhand,Hazaribagh
RAJ KUMAR,Jharkhand Party,1885.0,50,1935.0,0.15,Jharkhand,Hazaribagh
SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),1818.0,21,1839.0,0.15,Jharkhand,Hazaribagh
PRAKASH SONI,Bhartiya Azad Sena,1209.0,8,1217.0,0.1,Jharkhand,Hazaribagh
NOTA,None of the Above,7090.0,110,7200.0,0.57,Jharkhand,Hazaribagh
BIDYUT BARAN MAHATO,Bharatiya Janata Party,719891.0,6283,726174.0,56.84,Jharkhand,Jamshedpur
SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,459997.0,6395,466392.0,36.5,Jharkhand,Jamshedpur
INDRA DEO PRASAD,Independent,8463.0,6,8469.0,0.66,Jharkhand,Jamshedpur
ARUN MAHATO,Independent,7337.0,7,7344.0,0.57,Jharkhand,Jamshedpur
ANAND MUKHI,Independent,6346.0,6,6352.0,0.5,Jharkhand,Jamshedpur
PRANAV KUMAR MAHTO,Bahujan Samaj Party,6090.0,61,6151.0,0.48,Jharkhand,Jamshedpur
BISHWANATH MAHATO,Independent,5226.0,105,5331.0,0.42,Jharkhand,Jamshedpur
ANGAD MAHATO,Amra Bangalee,4898.0,27,4925.0,0.39,Jharkhand,Jamshedpur
JUJHAR SOREN,Independent,4262.0,53,4315.0,0.34,Jharkhand,Jamshedpur
SUKUMAR SOREN,Bharat Adivasi Party,3860.0,34,3894.0,0.3,Jharkhand,Jamshedpur
DHARMU TUDU,Ambedkarite Party of India,3274.0,17,3291.0,0.26,Jharkhand,Jamshedpur
JITENDRA SINGH,Independent,3159.0,8,3167.0,0.25,Jharkhand,Jamshedpur
SANAKA MAHATO,Socialist Unity Centre Of India (COMMUNIST),3137.0,38,3175.0,0.25,Jharkhand,Jamshedpur
MANOJ GUPTA,Lokhit Adhikar Party,2355.0,7,2362.0,0.18,Jharkhand,Jamshedpur
SADHU CHARAN PAUL,Independent,2291.0,26,2317.0,0.18,Jharkhand,Jamshedpur
SAURAV VISHNU,Independent,2234.0,30,2264.0,0.18,Jharkhand,Jamshedpur
SHAIKH AKHIRUDDIN,Bahujan Maha Party,2099.0,9,2108.0,0.16,Jharkhand,Jamshedpur
ASHOK KUMAR,Peoples Party of India (Democratic),2038.0,10,2048.0,0.16,Jharkhand,Jamshedpur
MAHESH KUMAR,Right to Recall Party,1952.0,8,1960.0,0.15,Jharkhand,Jamshedpur
G JAYRAM DAS,Independent,1927.0,4,1931.0,0.15,Jharkhand,Jamshedpur
ARUN KUMAR SHARMA,Bhartiya Azad Sena,1797.0,4,1801.0,0.14,Jharkhand,Jamshedpur
DOMAN CHANDRA BHAKAT,Bhagidari Party(P),1343.0,5,1348.0,0.11,Jharkhand,Jamshedpur
BABLU PRASAD DANGI,Independent,1144.0,8,1152.0,0.09,Jharkhand,Jamshedpur
GYAN SAGAR PRASAD,Independent,1043.0,1,1044.0,0.08,Jharkhand,Jamshedpur
PARWATI KISKU,Independent,972.0,16,988.0,0.08,Jharkhand,Jamshedpur
NOTA,None of the Above,7105.0,221,7326.0,0.57,Jharkhand,Jamshedpur
KALI CHARAN MUNDA,Indian National Congress,503997.0,7650,511647.0,54.62,Jharkhand,Khunti
ARJUN MUNDA,Bharatiya Janata Party,358076.0,3896,361972.0,38.64,Jharkhand,Khunti
SAVITRI DEVI,Bahujan Samaj Party,12202.0,98,12300.0,1.31,Jharkhand,Khunti
BASANT KUMAR LONGA,Independent,10735.0,20,10755.0,1.15,Jharkhand,Khunti
ARPANA HANS,Jharkhand Party,8450.0,82,8532.0,0.91,Jharkhand,Khunti
PASTAR SANJAY KUMAR TIRKEY,Independent,4944.0,19,4963.0,0.53,Jharkhand,Khunti
BABITA KACHHAP,Bharat Adivasi Party,4507.0,87,4594.0,0.49,Jharkhand,Khunti
