Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
SHIV RAM SHARMA,Moulik Adhikar Party,4709.0,2,4711.0,0.5,Uttar Pradesh,Pratapgarh
AMAR SINGH,Independent,4135.0,3,4138.0,0.44,Uttar Pradesh,Pratapgarh
SUNIL CHANDRA PAL,Rashtra Uday Party,3337.0,3,3340.0,0.35,Uttar Pradesh,Pratapgarh
AJEET PRATAP,Independent,2581.0,,2581.0,0.27,Uttar Pradesh,Pratapgarh
VIJAY SINGH,Sanatan Sanskriti Raksha Dal,2457.0,2,2459.0,0.26,Uttar Pradesh,Pratapgarh
RISHI PATEL,Apna Dal (Kamerawadi),2425.0,4,2429.0,0.26,Uttar Pradesh,Pratapgarh
MAHESH KUMAR PRAJAPATI,Samajhdar Party,1963.0,1,1964.0,0.21,Uttar Pradesh,Pratapgarh
DHANANJAY,Independent,1622.0,1,1623.0,0.17,Uttar Pradesh,Pratapgarh
GEETA DEVI,Bhartiya Lokmat Rashtrwadi Party,1582.0,12,1594.0,0.17,Uttar Pradesh,Pratapgarh
RAMSIDDH YADAV URF R.S.YADAV,Manavtawadi Samaj Party,1326.0,1,1327.0,0.14,Uttar Pradesh,Pratapgarh
SUNIL KUMAR MISHRA,Independent,1134.0,2,1136.0,0.12,Uttar Pradesh,Pratapgarh
SHANKAR SUMAN TIVARI,Independent,1128.0,1,1129.0,0.12,Uttar Pradesh,Pratapgarh
DURGESH KUMAR,Rastriya Atal Janta Party,1113.0,3,1116.0,0.12,Uttar Pradesh,Pratapgarh
RAM KUMAR YADAV,Socialist Unity Centre Of India (COMMUNIST),1070.0,1,1071.0,0.11,Uttar Pradesh,Pratapgarh
SHIV PAL PATEL,Independent,1025.0,5,1030.0,0.11,Uttar Pradesh,Pratapgarh
DHARMENDRA TIWARI,Log Party,992.0,1,993.0,0.1,Uttar Pradesh,Pratapgarh
JOKHU PATEL,Sardar Patel Siddhant Party,969.0,2,971.0,0.1,Uttar Pradesh,Pratapgarh
SHRAWAN KUMAR TRIPATHI,Independent,849.0,2,851.0,0.09,Uttar Pradesh,Pratapgarh
DHYAN SINGH,Independent,675.0,3,678.0,0.07,Uttar Pradesh,Pratapgarh
PRAMOD KUMAR,Independent,672.0,2,674.0,0.07,Uttar Pradesh,Pratapgarh
MOHRAM ALI,Independent,501.0,2,503.0,0.05,Uttar Pradesh,Pratapgarh
NOTA,None of the Above,2869.0,22,2891.0,0.31,Uttar Pradesh,Pratapgarh
RAHUL GANDHI,Indian National Congress,686044.0,1605,687649.0,66.17,Uttar Pradesh,Rae Bareli
DINESH PRATAP SINGH,Bharatiya Janata Party,296703.0,916,297619.0,28.64,Uttar Pradesh,Rae Bareli
THAKUR PRASAD YADAV,Bahujan Samaj Party,21588.0,36,21624.0,2.08,Uttar Pradesh,Rae Bareli
DILEEP SINGH,Akhil Bhartiya Apna Dal,8676.0,2,8678.0,0.84,Uttar Pradesh,Rae Bareli
HORILAL,Independent,5397.0,2,5399.0,0.52,Uttar Pradesh,Rae Bareli
SUDARSHAN RAM,Bhartiya Panchsheel Party,4343.0,2,4345.0,0.42,Uttar Pradesh,Rae Bareli
HIND ROHITASH,Manavtawadi Samaj Party,3859.0,,3859.0,0.37,Uttar Pradesh,Rae Bareli
MO MOBIN,Apna Dal (Kamerawadi),2173.0,1,2174.0,0.21,Uttar Pradesh,Rae Bareli
NOTA,None of the Above,7861.0,11,7872.0,0.76,Uttar Pradesh,Rae Bareli
MOHIBBULLAH,Samajwadi Party,481252.0,251,481503.0,49.74,Uttar Pradesh,Rampur
GHANSHYAM SINGH LODHI,Bharatiya Janata Party,393154.0,915,394069.0,40.71,Uttar Pradesh,Rampur
ZEESHAN KHAN,Bahujan Samaj Party,79561.0,131,79692.0,8.23,Uttar Pradesh,Rampur
ARSHAD WARSI,Minorities Democratic Party,2919.0,8,2927.0,0.3,Uttar Pradesh,Rampur
MEHMOOD PRACHA,Independent,2750.0,9,2759.0,0.28,Uttar Pradesh,Rampur
SHIV PRASAD,Independent,1465.0,11,1476.0,0.15,Uttar Pradesh,Rampur
NOTA,None of the Above,5643.0,10,5653.0,0.58,Uttar Pradesh,Rampur
CHHOTELAL,Samajwadi Party,465240.0,608,465848.0,46.14,Uttar Pradesh,Robertsganj
RINKI SINGH,Apna Dal (Soneylal),336344.0,270,336614.0,33.34,Uttar Pradesh,Robertsganj
DHANESHWAR,Bahujan Samaj Party,118669.0,109,118778.0,11.77,Uttar Pradesh,Robertsganj
ASHOK KUMAR KANNAUJIYA,Communist Party of India,23830.0,22,23852.0,2.36,Uttar Pradesh,Robertsganj
SUBHAGI,Janhit Sankalp Party,8191.0,3,8194.0,0.81,Uttar Pradesh,Robertsganj
ARVIND KUMAR BHARTI,Rashtriya Samanta Dal,7583.0,9,7592.0,0.75,Uttar Pradesh,Robertsganj
SUKALU,Independent,6701.0,11,6712.0,0.66,Uttar Pradesh,Robertsganj
SHIVPUJAN,Rashtriya Samaj Paksha,6422.0,22,6444.0,0.64,Uttar Pradesh,Robertsganj
SONU NIGAM,Independent,6142.0,2,6144.0,0.61,Uttar Pradesh,Robertsganj
CHANDRIKA PRASAD,Janta Kranti Party (Rashtravadi),3732.0,9,3741.0,0.37,Uttar Pradesh,Robertsganj
PRABHUDAYAL,Rashtriya Samaj Dal (R),3470.0,1,3471.0,0.34,Uttar Pradesh,Robertsganj
RAM SHIROMANI,Sardar Patel Siddhant Party,3116.0,7,3123.0,0.31,Uttar Pradesh,Robertsganj
NOTA,None of the Above,19019.0,13,19032.0,1.89,Uttar Pradesh,Robertsganj
IMRAN MASOOD,Indian National Congress,547383.0,584,547967.0,44.57,Uttar Pradesh,Saharanpur
RAGHAV LAKHANPAL,Bharatiya Janata Party,482120.0,1305,483425.0,39.32,Uttar Pradesh,Saharanpur
MAJID ALI,Bahujan Samaj Party,179994.0,359,180353.0,14.67,Uttar Pradesh,Saharanpur
MOHD INAM,Akhil Bhartiya Parivar Party,5392.0,8,5400.0,0.44,Uttar Pradesh,Saharanpur
SHABNAM,Independent,2370.0,3,2373.0,0.19,Uttar Pradesh,Saharanpur
SHAHBAJ,Independent,1696.0,2,1698.0,0.14,Uttar Pradesh,Saharanpur
RASHID KHAN,Independent,1227.0,3,1230.0,0.1,Uttar Pradesh,Saharanpur
TASMEEM BANO,Independent,883.0,2,885.0,0.07,Uttar Pradesh,Saharanpur
RAJKUMAR,Independent,807.0,6,813.0,0.07,Uttar Pradesh,Saharanpur
KAMRAN,Independent,744.0,1,745.0,0.06,Uttar Pradesh,Saharanpur
NOTA,None of the Above,4559.0,7,4566.0,0.37,Uttar Pradesh,Saharanpur
RAMASHANKAR RAJBHAR,Samajwadi Party,403616.0,1856,405472.0,44.2,Uttar Pradesh,Salempur
RAVINDAR KUSHAWAHA,Bharatiya Janata Party,400489.0,1410,401899.0,43.81,Uttar Pradesh,Salempur
BHIM RAJBHAR,Bahujan Samaj Party,80291.0,308,80599.0,8.79,Uttar Pradesh,Salempur
JAIBAHADUR ALIAS JAIBAHADUR CHAUHAN,Janta Kranti Party (Rashtravadi),8241.0,22,8263.0,0.9,Uttar Pradesh,Salempur
SHREENARAYAN MISHRA,Akhil Bhartiya Sarvjan Hit Party,3878.0,14,3892.0,0.42,Uttar Pradesh,Salempur
SADDAM HUSSAIN,Independent,3210.0,5,3215.0,0.35,Uttar Pradesh,Salempur
SHRIKRISHNA,Independent,2527.0,5,2532.0,0.28,Uttar Pradesh,Salempur
AMRESH THAKUR,Independent,2147.0,9,2156.0,0.24,Uttar Pradesh,Salempur
SURYA PRAKASH GAUTAM,Sardar Patel Siddhant Party,1782.0,3,1785.0,0.19,Uttar Pradesh,Salempur
NOTA,None of the Above,7520.0,29,7549.0,0.82,Uttar Pradesh,Salempur
ZIA UR REHMAN,Samajwadi Party,570745.0,416,571161.0,47.8,Uttar Pradesh,Sambhal
PARMESHWAR LAL SAINI,Bharatiya Janata Party,448983.0,684,449667.0,37.63,Uttar Pradesh,Sambhal
CHAUDHARY SAULAT ALI,Bahujan Samaj Party,152317.0,143,152460.0,12.76,Uttar Pradesh,Sambhal
WASEEM SO MOH SHAMIM,Independent,3863.0,1,3864.0,0.32,Uttar Pradesh,Sambhal
MOHD WASEEM SO MOHD FAREED,Independent,2077.0,,2077.0,0.17,Uttar Pradesh,Sambhal
JAYGAMUL ISLAM,Janta Shashan Party,1940.0,2,1942.0,0.16,Uttar Pradesh,Sambhal
ANUJ VARSHNEY,Independent,1674.0,3,1677.0,0.14,Uttar Pradesh,Sambhal
MAHANDRA SINGH,Independent,1291.0,3,1294.0,0.11,Uttar Pradesh,Sambhal
SANTOSH,Kisan Kranti Dal,1201.0,3,1204.0,0.1,Uttar Pradesh,Sambhal
DR RASHID,Peace Party,1059.0,1,1060.0,0.09,Uttar Pradesh,Sambhal
TAUFIK AHAMAD,Independent,722.0,1,723.0,0.06,Uttar Pradesh,Sambhal
PAVAN KUMAR,Log Party,636.0,1,637.0,0.05,Uttar Pradesh,Sambhal
NOTA,None of the Above,7213.0,4,7217.0,0.6,Uttar Pradesh,Sambhal
LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488.0,1207,498695.0,45.7,Uttar Pradesh,Sant Kabir Nagar
PRAVIN KUMAR NISHAD,Bharatiya Janata Party,405611.0,914,406525.0,37.25,Uttar Pradesh,Sant Kabir Nagar
NADEEM ASHRAF,Bahujan Samaj Party,150549.0,263,150812.0,13.82,Uttar Pradesh,Sant Kabir Nagar
DHEERAJ SRIVASTAV,Pragatisheel Samaj Party,5135.0,5,5140.0,0.47,Uttar Pradesh,Sant Kabir Nagar
RAM KRISHNA DWIVEDI,Independent,4509.0,,4509.0,0.41,Uttar Pradesh,Sant Kabir Nagar
SATYVANT PRATAP SINGH,Independent,4351.0,7,4358.0,0.4,Uttar Pradesh,Sant Kabir Nagar
KULDEEP,Sardar Patel Siddhant Party,3591.0,4,3595.0,0.33,Uttar Pradesh,Sant Kabir Nagar
MITRASEN,Independent,2535.0,9,2544.0,0.23,Uttar Pradesh,Sant Kabir Nagar
RAJENDRA YADAV URF COLONEL SAHAB,Sarvjan Awaz Party,2229.0,10,2239.0,0.21,Uttar Pradesh,Sant Kabir Nagar
ANAND KUMAR GAUTAM,Independent,1840.0,10,1850.0,0.17,Uttar Pradesh,Sant Kabir Nagar
SUBHASH CHANDRA DUBEY,Naki Bharatiya Ekta Party,1702.0,6,1708.0,0.16,Uttar Pradesh,Sant Kabir Nagar
NOTA,None of the Above,9210.0,17,9227.0,0.85,Uttar Pradesh,Sant Kabir Nagar
ARUN KUMAR SAGAR,Bharatiya Janata Party,591500.0,1218,592718.0,47.5,Uttar Pradesh,Shahjahanpur
JYOTSNA GOND,Samajwadi Party,534720.0,2619,537339.0,43.06,Uttar Pradesh,Shahjahanpur
DOD RAM VERMA,Bahujan Samaj Party,91302.0,408,91710.0,7.35,Uttar Pradesh,Shahjahanpur
KIRAN,Rashtriya Sanatan Party,6587.0,1,6588.0,0.53,Uttar Pradesh,Shahjahanpur
SHIV KUMAR,Independent,2805.0,,2805.0,0.22,Uttar Pradesh,Shahjahanpur
