Candidate,Party,Total Votes,Postal Votes,EVM Votes,% of Votes,State,Constituency
PRAVEEN KHANDELWAL,Bharatiya Janata Party,516496.0,1538,514958.0,53.46,NCT OF Delhi,Chandni Chowk
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,718410.0,1775,716635.0,57.88,Maharashtra,Chandrapur
KALI CHARAN SINGH,Bharatiya Janata Party,574556.0,5644,568912.0,52.89,Jharkhand,Chatra
KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,809882.0,11365,798517.0,48.34,Telangana,Chevella
JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,796589.0,4862,791727.0,62.84,Gujarat,Chhota Udaipur
DR.K.SUDHAKAR,Bharatiya Janata Party,822619.0,3031,819588.0,53.74,Karnataka,Chikkballapur
PRIYANKA SATISH JARKIHOLI,Indian National Congress,713461.0,2638,710823.0,51.21,Karnataka,Chikkodi
GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,684890.0,3673,681217.0,50.11,Karnataka,Chitradurga
DAGGUMALLA PRASADA RAO,Telugu Desam,778071.0,12535,765536.0,54.84,Andhra Pradesh,Chittoor(SC)
JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,788375.0,2628,785747.0,48.57,West Bengal,Coochbehar
BHARTRUHARI MAHTAB,Bharatiya Janata Party,531601.0,2330,529271.0,47.43,Odisha,Cuttack
RAHUL SINGH LODHI,Bharatiya Janata Party,709768.0,1179,708589.0,65.18,Madhya Pradesh,DAMOH
MURARI LAL MEENA,Indian National Congress,646266.0,9398,636868.0,60.24,Rajasthan,DAUSA
MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,928941.0,3024,925917.0,63.23,Madhya Pradesh,DEWAS
SAVITRI THAKUR,Bharatiya Janata Party,794449.0,1858,792591.0,55.75,Madhya Pradesh,DHAR
MANI. A.,Dravida Munnetra Kazhagam,432667.0,3366,429301.0,34.67,Tamil Nadu,DHARMAPURI
SACHITHANANTHAM R,Communist Party of India (Marxist),670149.0,2758,667391.0,58.29,Tamil Nadu,DINDIGUL
VIJAY BAGHEL,Bharatiya Janata Party,956497.0,2141,954356.0,62.0,Chhattisgarh,DURG
DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,121074.0,241,120833.0,58.89,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli
JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,688715.0,2981,685734.0,61.59,Gujarat,Dahod
CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,764132.0,4002,760130.0,53.97,Karnataka,Dakshina Kannada
PATEL UMESHBHAI BABUBHAI,Independent,42523.0,54,42469.0,46.02,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu
GOPAL JEE THAKUR,Bharatiya Janata Party,566630.0,924,565706.0,55.33,Bihar,Darbhanga
RAJU BISTA,Bharatiya Janata Party,679331.0,4007,675324.0,51.18,West Bengal,Darjeeling
DILIP SAIKIA,Bharatiya Janata Party,868387.0,3804,864583.0,47.95,Assam,Darrang-Udalguri
DR. PRABHA MALLIKARJUN,Indian National Congress,633059.0,1606,631453.0,47.95,Karnataka,Davanagere
SHASHANK MANI,Bharatiya Janata Party,504541.0,1032,503509.0,48.36,Uttar Pradesh,Deoria
DULU MAHATO,Bharatiya Janata Party,789172.0,6749,782423.0,55.26,Jharkhand,Dhanbad
PRALHAD JOSHI,Bharatiya Janata Party,716231.0,2582,713649.0,52.41,Karnataka,Dharwad
ANAND BHADAURIYA,Samajwadi Party,443743.0,1093,442650.0,39.91,Uttar Pradesh,Dhaurahra
RUDRA NARAYAN PANY,Bharatiya Janata Party,598721.0,4814,593907.0,50.24,Odisha,Dhenkanal
RAKIBUL HUSSAIN,Indian National Congress,1471885.0,3336,1468549.0,59.99,Assam,Dhubri
BACHHAV SHOBHA DINESH,Indian National Congress,583866.0,1374,582492.0,47.89,Maharashtra,Dhule
ABHISHEK BANERJEE,All India Trinamool Congress,1048230.0,4737,1043493.0,68.48,West Bengal,Diamond harbour
SARBANANDA SONOWAL,Bharatiya Janata Party,693762.0,2609,691153.0,54.27,Assam,Dibrugarh
BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,577339.0,2048,575291.0,46.53,Maharashtra,Dindori
AMARSING TISSO,Bharatiya Janata Party,334620.0,2180,332440.0,49.01,Assam,Diphu
JAGDAMBIKA PAL,Bharatiya Janata Party,463303.0,689,462614.0,45.47,Uttar Pradesh,Domariyaganj
SOUGATA RAY,All India Trinamool Congress,528579.0,2290,526289.0,41.95,West Bengal,Dum dum
NALIN SOREN,Jharkhand Mukti Morcha,547370.0,5071,542299.0,46.23,Jharkhand,Dumka
