Candidate,Party,Total Votes,Postal Votes,EVM Votes,% of Votes,State,Constituency
INDRA HANG SUBBA,Sikkim Krantikari Morcha,164396.0,7560,156836.0,42.71,Sikkim,Sikkim
PARIMAL SUKLABAIDYA,Bharatiya Janata Party,652405.0,4833,647572.0,59.89,Assam,Silchar
JOBA MAJHI,Jharkhand Mukti Morcha,520164.0,4175,515989.0,51.62,Jharkhand,Singhbhum
DEVESH CHANDRA THAKUR,Janata Dal (United),515719.0,779,514940.0,47.14,Bihar,Sitamarhi
RAKESH RATHOR,Indian National Congress,531138.0,671,530467.0,48.2,Uttar Pradesh,Sitapur
VIJAYLAKSHMI DEVI,Janata Dal (United),386508.0,883,385625.0,38.73,Bihar,Siwan
PRANITI SUSHILKUMAR SHINDE,Indian National Congress,620225.0,1875,618350.0,51.49,Maharashtra,Solapur
RANJIT DUTTA,Bharatiya Janata Party,775788.0,4770,771018.0,60.21,Assam,Sonitpur
RAMVIR SINGH BIDHURI,Bharatiya Janata Party,692832.0,1648,691184.0,53.46,NCT OF Delhi,South Delhi
CAPTAIN VIRIATO FERNANDES,Indian National Congress,217836.0,1814,216022.0,48.35,Goa,South Goa
KALYAN BANERJEE,All India Trinamool Congress,673970.0,2105,671865.0,45.65,West Bengal,Srerampur
KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328.0,19827,734501.0,61.05,Andhra Pradesh,Srikakulam
RAMBHUAL NISHAD,Samajwadi Party,444330.0,1444,442886.0,43.0,Uttar Pradesh,Sultanpur
JUAL ORAM,Bharatiya Janata Party,494282.0,3627,490655.0,42.77,Odisha,Sundargarh
DILESHWAR KAMAIT,Janata Dal (United),595038.0,2116,592922.0,48.33,Bihar,Supaul
MUKESHKUMAR CHANDRAKAANT DALAL ( Uncontested ),Bharatiya Janata Party,,,,,Gujarat,Surat
CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,669749.0,5656,664093.0,59.2,Gujarat,Surendranagar
DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,425679.0,2654,423025.0,40.97,Tamil Nadu,TENKASI
MURASOLI S,Dravida Munnetra Kazhagam,502245.0,3423,498822.0,48.82,Tamil Nadu,THANJAVUR
THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,571493.0,2383,569110.0,50.08,Tamil Nadu,THENI
KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,540729.0,2850,537879.0,55.26,Tamil Nadu,THOOTHUKKUDI
DR. VIRENDRA KUMAR,Bharatiya Janata Party,715050.0,1269,713781.0,65.1,Madhya Pradesh,TIKAMGARH
DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,542213.0,3336,538877.0,51.35,Tamil Nadu,TIRUCHIRAPPALLI
ROBERT BRUCE C,Indian National Congress,502296.0,2803,499493.0,47.06,Tamil Nadu,TIRUNELVELI
"SUBBARAYAN, K.",Communist Party of India,472739.0,2544,470195.0,41.38,Tamil Nadu,TIRUPPUR
Sasikanth Senthil,Indian National Congress,796956.0,2348,794608.0,56.21,Tamil Nadu,TIRUVALLUR
"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,547379.0,3522,543857.0,47.75,Tamil Nadu,TIRUVANNAMALAI
HARISH CHANDRA MEENA,Indian National Congress,623763.0,6626,617137.0,50.85,Rajasthan,TONK-SAWAI MADHOPUR
ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,765584.0,4401,761183.0,48.54,West Bengal,Tamluk
MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,462603.0,6654,455949.0,53.66,Uttarakhand,Tehri Garhwal
NARESH GANPAT MHASKE,Shiv Sena,734231.0,2122,732109.0,56.09,Maharashtra,Thane
GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,632228.0,5526,626702.0,45.73,Andhra Pradesh,Thirupathi(SC)
SHASHI THAROOR,Indian National Congress,358155.0,4476,353679.0,37.19,Kerala,Thiruvananthapuram
SURESH GOPI,Bharatiya Janata Party,412338.0,3036,409302.0,37.8,Kerala,Thrissur
KRITI DEVI DEBBARMAN,Bharatiya Janata Party,777447.0,9318,768129.0,68.54,Tripura,Tripura East
BIPLAB KUMAR DEB,Bharatiya Janata Party,881341.0,12857,868484.0,72.85,Tripura,Tripura West
V. SOMANNA,Bharatiya Janata Party,720946.0,4237,716709.0,55.31,Karnataka,Tumkur
SALENG A SANGMA,Indian National Congress,383919.0,1861,382058.0,56.96,Meghalaya,Tura
MANNA LAL RAWAT,Bharatiya Janata Party,738286.0,5529,732757.0,49.27,Rajasthan,UDAIPUR
DR JITENDRA SINGH,Bharatiya Janata Party,571076.0,4243,566833.0,51.28,Jammu and Kashmir,UDHAMPUR
ANIL FIROJIYA,Bharatiya Janata Party,836104.0,1730,834374.0,62.93,Madhya Pradesh,UJJAIN
KOTA SRINIVAS POOJARY,Bharatiya Janata Party,732234.0,4015,728219.0,59.56,Karnataka,Udupi Chikmagalur
NITYANAND RAI,Bharatiya Janata Party,515965.0,806,515159.0,49.51,Bihar,Ujiarpur
SAJDA AHMED,All India Trinamool Congress,724622.0,2036,722586.0,52.1,West Bengal,Uluberia
SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,616133.0,1301,614832.0,47.31,Uttar Pradesh,Unnao
VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,782495.0,4608,777887.0,61.97,Karnataka,Uttara Kannada
DM KATHIR ANAND,Dravida Munnetra Kazhagam,568692.0,2257,566435.0,50.35,Tamil Nadu,VELLORE
SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,1116460.0,4904,1111556.0,76.7,Madhya Pradesh,VIDISHA
RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,477033.0,2803,474230.0,41.39,Tamil Nadu,VILUPPURAM
MANICKAM TAGORE B,Indian National Congress,385256.0,2380,382876.0,36.28,Tamil Nadu,VIRUDHUNAGAR
SHAFI PARAMBIL,Indian National Congress,557528.0,5038,552490.0,49.65,Kerala,Vadakara
DR. HEMANG JOSHI,Bharatiya Janata Party,873189.0,7364,865825.0,72.04,Gujarat,Vadodara
VEENA DEVI,Lok Janshakti Party(Ram Vilas),567043.0,818,566225.0,48.38,Bihar,Vaishali
SUNIL KUMAR,Janata Dal (United),523422.0,927,522495.0,47.5,Bihar,Valmiki Nagar
DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,764226.0,3291,760935.0,56.13,Gujarat,Valsad
NARENDRA MODI,Bharatiya Janata Party,612970.0,1531,611439.0,54.24,Uttar Pradesh,Varanasi
KESINENI SIVANATH (CHINNI),Telugu Desam,794154.0,9432,784722.0,58.21,Andhra Pradesh,Vijayawada
SRIBHARAT MATHUKUMILI,Telugu Desam,907467.0,13583,893884.0,65.42,Andhra Pradesh,Visakhapatnam
APPALANAIDU KALISETTI,Telugu Desam,743113.0,13829,729284.0,57.2,Andhra Pradesh,Vizianagaram
KADIYAM KAVYA,Indian National Congress,581294.0,5728,575566.0,45.85,Telangana,Warangal
AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,533106.0,2345,530761.0,48.68,Maharashtra,Wardha
RAHUL GANDHI,Indian National Congress,647445.0,5146,642299.0,59.69,Kerala,Wayanad
KAMALJEET SEHRAWAT,Bharatiya Janata Party,842658.0,4326,838332.0,55.27,NCT OF Delhi,West Delhi
SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),594807.0,2908,591899.0,48.53,Maharashtra,Yavatmal- Washim
SURESH KUMAR SHETKAR,Indian National Congress,528418.0,4499,523919.0,42.73,Telangana,Zahirabad
